ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_IDs
stan1290-l-specific-known,stan1290,l-specific-known,n'importe / personne / que ce soit / quelque,,,,stan1290-1
stan1290-l-specific-unknown,stan1290,l-specific-unknown,n'importe / personne / que ce soit / quelque,,,,stan1290-2
stan1290-l-irrealis-nsp,stan1290,l-irrealis-nsp,n'importe / personne / que ce soit / quelque,,,,stan1290-3
stan1290-l-question,stan1290,l-question,n'importe / personne / que ce soit / quelque,,,,stan1290-4;stan1290-5;stan1290-6
stan1290-l-conditional,stan1290,l-conditional,n'importe / personne / que ce soit / quelque,,,,stan1290-7;stan1290-8;stan1290-20
stan1290-l-indirect-negation,stan1290,l-indirect-negation,n'importe / personne / que ce soit / quelque,,,,stan1290-12;stan1290-13;stan1290-19
stan1290-l-direct-negation,stan1290,l-direct-negation,n'importe / personne / que ce soit / quelque,,,,stan1290-9;stan1290-10;stan1290-11
stan1290-l-comparative,stan1290,l-comparative,n'importe / personne / que ce soit / quelque,,,,stan1290-14;stan1290-15;stan1290-18;stan1290-22
stan1290-l-free-choice,stan1290,l-free-choice,n'importe / personne / que ce soit / quelque,,,,stan1290-16;stan1290-17;stan1290-21
ital1282-l-specific-known,ital1282,l-specific-known,nessuno / qualche / -unque,,,,ital1282-1
ital1282-l-specific-unknown,ital1282,l-specific-unknown,nessuno / qualche / -unque,,,,ital1282-2
ital1282-l-irrealis-nsp,ital1282,l-irrealis-nsp,nessuno / qualche / -unque,,,,ital1282-3
ital1282-l-question,ital1282,l-question,nessuno / qualche / -unque,,,,ital1282-4
ital1282-l-conditional,ital1282,l-conditional,nessuno / qualche / -unque,,,,ital1282-5
ital1282-l-indirect-negation,ital1282,l-indirect-negation,nessuno / qualche / -unque,,,,ital1282-6
ital1282-l-direct-negation,ital1282,l-direct-negation,nessuno / qualche / -unque,,,,ital1282-9;ital1282-10;ital1282-11
ital1282-l-comparative,ital1282,l-comparative,nessuno / qualche / -unque,,,,ital1282-8
ital1282-l-free-choice,ital1282,l-free-choice,nessuno / qualche / -unque,,,,ital1282-7
roma1327-l-specific-known,roma1327,l-specific-known,ni- / ori- / -va / vre-un,,,,roma1327-1
roma1327-l-specific-unknown,roma1327,l-specific-unknown,ni- / ori- / -va / vre-un,,,,roma1327-2
roma1327-l-irrealis-nsp,roma1327,l-irrealis-nsp,ni- / ori- / -va / vre-un,,,,roma1327-3
roma1327-l-question,roma1327,l-question,ni- / ori- / -va / vre-un,,,,roma1327-4;roma1327-10
roma1327-l-conditional,roma1327,l-conditional,ni- / ori- / -va / vre-un,,,,roma1327-5
roma1327-l-indirect-negation,roma1327,l-indirect-negation,ni- / ori- / -va / vre-un,,,,roma1327-8;roma1327-11
roma1327-l-direct-negation,roma1327,l-direct-negation,ni- / ori- / -va / vre-un,,,,roma1327-9
roma1327-l-comparative,roma1327,l-comparative,ni- / ori- / -va / vre-un,,,,roma1327-6
roma1327-l-free-choice,roma1327,l-free-choice,ni- / ori- / -va / vre-un,,,,roma1327-7
mode1248-l-specific-known,mode1248,l-specific-known,-dhipote / ka- / tipota,,,,mode1248-1
mode1248-l-specific-unknown,mode1248,l-specific-unknown,-dhipote / ka- / tipota,,,,mode1248-2
mode1248-l-irrealis-nsp,mode1248,l-irrealis-nsp,-dhipote / ka- / tipota,,,,mode1248-3;mode1248-4
mode1248-l-question,mode1248,l-question,-dhipote / ka- / tipota,,,,mode1248-5;mode1248-11
mode1248-l-conditional,mode1248,l-conditional,-dhipote / ka- / tipota,,,,mode1248-6;mode1248-12
mode1248-l-indirect-negation,mode1248,l-indirect-negation,-dhipote / ka- / tipota,,,,mode1248-8
mode1248-l-direct-negation,mode1248,l-direct-negation,-dhipote / ka- / tipota,,,,mode1248-7
mode1248-l-comparative,mode1248,l-comparative,-dhipote / ka- / tipota,,,,mode1248-10
mode1248-l-free-choice,mode1248,l-free-choice,-dhipote / ka- / tipota,,,,mode1248-9
bulg1262-l-specific-known,bulg1262,l-specific-known,ni- / nja- / -toidae,,,,bulg1262-2
bulg1262-l-specific-unknown,bulg1262,l-specific-unknown,ni- / nja- / -toidae,,,,bulg1262-1
bulg1262-l-irrealis-nsp,bulg1262,l-irrealis-nsp,ni- / nja- / -toidae,,,,
bulg1262-l-question,bulg1262,l-question,ni- / nja- / -toidae,,,,bulg1262-3;bulg1262-4
bulg1262-l-conditional,bulg1262,l-conditional,ni- / nja- / -toidae,,,,bulg1262-5
bulg1262-l-indirect-negation,bulg1262,l-indirect-negation,ni- / nja- / -toidae,,,,bulg1262-8
bulg1262-l-direct-negation,bulg1262,l-direct-negation,ni- / nja- / -toidae,,,,bulg1262-9
bulg1262-l-comparative,bulg1262,l-comparative,ni- / nja- / -toidae,,,,bulg1262-7
bulg1262-l-free-choice,bulg1262,l-free-choice,ni- / nja- / -toidae,,,,bulg1262-6
sout1528-l-specific-known,sout1528,l-specific-known,bilo / i- / ne- / ni-,,,,sout1528-1
sout1528-l-specific-unknown,sout1528,l-specific-unknown,bilo / i- / ne- / ni-,,,,sout1528-1
sout1528-l-irrealis-nsp,sout1528,l-irrealis-nsp,bilo / i- / ne- / ni-,,,,sout1528-2
sout1528-l-question,sout1528,l-question,bilo / i- / ne- / ni-,,,,sout1528-3;sout1528-5
sout1528-l-conditional,sout1528,l-conditional,bilo / i- / ne- / ni-,,,,sout1528-4
sout1528-l-indirect-negation,sout1528,l-indirect-negation,bilo / i- / ne- / ni-,,,,sout1528-6
sout1528-l-direct-negation,sout1528,l-direct-negation,bilo / i- / ne- / ni-,,,,sout1528-9
sout1528-l-comparative,sout1528,l-comparative,bilo / i- / ne- / ni-,,,,sout1528-7
sout1528-l-free-choice,sout1528,l-free-choice,bilo / i- / ne- / ni-,,,,sout1528-8
poli1260-l-specific-known,poli1260,l-specific-known,-kolwiek / ni- / -s,,,,poli1260-1
poli1260-l-specific-unknown,poli1260,l-specific-unknown,-kolwiek / ni- / -s,,,,
poli1260-l-irrealis-nsp,poli1260,l-irrealis-nsp,-kolwiek / ni- / -s,,,,poli1260-2
poli1260-l-question,poli1260,l-question,-kolwiek / ni- / -s,,,,poli1260-3
poli1260-l-conditional,poli1260,l-conditional,-kolwiek / ni- / -s,,,,poli1260-4
poli1260-l-indirect-negation,poli1260,l-indirect-negation,-kolwiek / ni- / -s,,,,poli1260-5
poli1260-l-direct-negation,poli1260,l-direct-negation,-kolwiek / ni- / -s,,,,poli1260-8
poli1260-l-comparative,poli1260,l-comparative,-kolwiek / ni- / -s,,,,poli1260-7
poli1260-l-free-choice,poli1260,l-free-choice,-kolwiek / ni- / -s,,,,poli1260-6
russ1263-l-specific-known,russ1263,l-specific-known,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-15
russ1263-l-specific-unknown,russ1263,l-specific-unknown,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-1;russ1263-6
russ1263-l-irrealis-nsp,russ1263,l-irrealis-nsp,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-2;russ1263-3;russ1263-7
russ1263-l-question,russ1263,l-question,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-4;russ1263-12
russ1263-l-conditional,russ1263,l-conditional,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-5;russ1263-11
russ1263-l-indirect-negation,russ1263,l-indirect-negation,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-9;russ1263-10
russ1263-l-direct-negation,russ1263,l-direct-negation,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-14
russ1263-l-comparative,russ1263,l-comparative,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-8
russ1263-l-free-choice,russ1263,l-free-choice,by to ni bylo / koe- / -libo / ni- / -nibud / -to / ljuboj/ugodno,,,,russ1263-13
lith1251-l-specific-known,lith1251,l-specific-known,bet / joks / kai / kaz- / nie- / nors,,,,
lith1251-l-specific-unknown,lith1251,l-specific-unknown,bet / joks / kai / kaz- / nie- / nors,,,,
lith1251-l-irrealis-nsp,lith1251,l-irrealis-nsp,bet / joks / kai / kaz- / nie- / nors,,,,
